ELEMENT_GLOBAL_ID,Scientific Name,Common Name,Taxonomic Group
136515,Amsonia kearneyana,Kearney's Slimpod,Flowering Plants
141086,Amsonia tharpii,Tharp's Bluestar,Flowering Plants
786432,Ancistrocarphus keilii,Ancistrocarphus keilii,Flowering Plants
135894,Angelica dentata,Coastal Plain Angelica,Flowering Plants
157806,Angelica scabrida,Rough Angelica,Flowering Plants
135854,Angelica wheeleri,Wheeler's Angelica,Flowering Plants
951442,Antennaria sawyeri,,Flowering Plants
161232,Antennaria soliceps,Charleston Pussytoes,Flowering Plants
141061,Anulocaulis reflexus,Texas Ringstem,Flowering Plants
150024,Apacheria chiricahuensis,Cliff Brittlebush,Flowering Plants
138209,Apios priceana,Price's Potato-bean,Flowering Plants
142074,Aquilegia grahamii,Graham's Columbine,Flowering Plants
158685,Aquilegia laramiensis,Laramie Columbine,Flowering Plants
157136,Arabis bodiensis,Bodie Hills Rockcress,Flowering Plants
134763,Arabis constancei,Constance's Rockcress,Flowering Plants
143820,Arabis crandallii,Crandall's Rockcress,Flowering Plants
144199,Arabis falcatoria,Grouse Creek Rockcress,Flowering Plants
140673,Arabis falcifructa,Elko Rockcress,Flowering Plants
159353,Arabis fecunda,Sapphire Rockcress,Flowering Plants
154760,Arabis georgiana,Georgia Rockcress,Flowering Plants
143911,Arabis hastatula,Hell's Canyon Rockcress,Flowering Plants
142771,Arabis johnstonii,Johnston's Rockcress,Flowering Plants
132067,Arabis mcdonaldiana,Red Mountain Rockcress,Flowering Plants
157888,Arabis ophira,Ophir Rockcress,Flowering Plants
158312,Arabis parishii,Parish's Rockcress,Flowering Plants
130490,Arabis perstellata,Braun's Rockcress,Flowering Plants
128570,Arabis pinzliae,Pinzl's Rockcress,Flowering Plants
159356,Arabis pusilla,Fremont County Rockcress,Flowering Plants
865001,Arabis rollei,Klamath River Rockcress,Flowering Plants
142676,Arabis serotina,Shale Barren Rockcress,Flowering Plants
139715,Arabis tricornuta,Rincon Mountain Rockcress,Flowering Plants
159159,Arctomecon humilis,Dwarf Bear-poppy,Flowering Plants
141166,Arctostaphylos andersonii,Santa Cruz Manzanita,Flowering Plants
135324,Arctostaphylos auriculata,Mt. Diablo Manzanita,Flowering Plants
160913,Arctostaphylos catalinae,Santa Catalina Island Manzanita,Flowering Plants
136943,Arctostaphylos confertiflora,Santa Rosa Island Manzanita,Flowering Plants
137554,Arctostaphylos cruzensis,Arroyo de la Cruz Manzanita,Flowering Plants
150824,Arctostaphylos densiflora,Vine Hill Manzanita,Flowering Plants
130174,Arctostaphylos edmundsii,Little Sur Manzanita,Flowering Plants
788176,Arctostaphylos gabilanensis,Arctostaphylos gabilanensis,Flowering Plants
137569,Arctostaphylos glutinosa,Schreiber's Manzanita,Flowering Plants
159465,Arctostaphylos imbricata,San Bruno Mountain Manzanita,Flowering Plants
140555,Arctostaphylos montaraensis,Montara Manzanita,Flowering Plants
134642,Arctostaphylos montereyensis,Toro Manzanita,Flowering Plants
139178,Arctostaphylos morroensis,Morro Manzanita,Flowering Plants
156885,Arctostaphylos myrtifolia,Ione Manzanita,Flowering Plants
154143,Arctostaphylos nissenana,Nissenan Manzanita,Flowering Plants
826799,Arctostaphylos ohloneana,Arctostaphylos ohloneana,Flowering Plants
