SpeciesCode,HUCID
IsotriaMedeoloides,0108020601
IsotriaMedeoloides,0108020602
IsotriaMedeoloides,0109000101
IsotriaMedeoloides,0109000102
IsotriaMedeoloides,0109000103
IsotriaMedeoloides,0109000104
IsotriaMedeoloides,0109000105
IsotriaMedeoloides,0109000106
IsotriaMedeoloides,0109000107
IsotriaMedeoloides,0109000108
IsotriaMedeoloides,0109000301
IsotriaMedeoloides,0108020501
IsotriaMedeoloides,0110000102
IsotriaMedeoloides,0109000302
IsotriaMedeoloides,0109000404
IsotriaMedeoloides,0602000112
IsotriaMedeoloides,0601010301
IsotriaMedeoloides,0601020403
IsotriaMedeoloides,0602000209
IsotriaMedeoloides,0601010202
IsotriaMedeoloides,0601010204
IsotriaMedeoloides,0601020508
IsotriaMedeoloides,0601020603
IsotriaMedeoloides,0208010604
IsotriaMedeoloides,0208010605
IsotriaMedeoloides,0208010606
IsotriaMedeoloides,0208010608
IsotriaMedeoloides,0208010609
IsotriaMedeoloides,0208010610
IsotriaMedeoloides,0208010611
IsotriaMedeoloides,0208010701
IsotriaMedeoloides,0208010702
IsotriaMedeoloides,0208010801
IsotriaMedeoloides,0208010802
IsotriaMedeoloides,0208020102
IsotriaMedeoloides,0208020110
IsotriaMedeoloides,0208020111
IsotriaMedeoloides,0208020112
IsotriaMedeoloides,0208020113
IsotriaMedeoloides,0208020114
IsotriaMedeoloides,0208020115
IsotriaMedeoloides,0208020301
IsotriaMedeoloides,0208020303
IsotriaMedeoloides,0208020304
IsotriaMedeoloides,0208020308
IsotriaMedeoloides,0208020311
IsotriaMedeoloides,0208020313
IsotriaMedeoloides,0208020314
IsotriaMedeoloides,0208020315
IsotriaMedeoloides,0208020502
IsotriaMedeoloides,0208020503
IsotriaMedeoloides,0208020605
IsotriaMedeoloides,0208020606
IsotriaMedeoloides,0208020607
IsotriaMedeoloides,0208020608
IsotriaMedeoloides,0208020609
IsotriaMedeoloides,0208020701
IsotriaMedeoloides,0208020702
IsotriaMedeoloides,0714020403
IsotriaMedeoloides,0714020406
IsotriaMedeoloides,0714020407
IsotriaMedeoloides,0714020408
IsotriaMedeoloides,0714020409
IsotriaMedeoloides,0714010109
IsotriaMedeoloides,0714010501
IsotriaMedeoloides,0714010503
IsotriaMedeoloides,0109000407
IsotriaMedeoloides,0206000201
IsotriaMedeoloides,0206000310
IsotriaMedeoloides,0206000601
IsotriaMedeoloides,0206000604
IsotriaMedeoloides,0207000804
IsotriaMedeoloides,0207000808
IsotriaMedeoloides,0207000907
IsotriaMedeoloides,0207001001
IsotriaMedeoloides,0206000203
IsotriaMedeoloides,0206000202
IsotriaMedeoloides,0207000809
IsotriaMedeoloides,0207000810
IsotriaMedeoloides,0207001101
IsotriaMedeoloides,0208010100
IsotriaMedeoloides,0208020803
IsotriaMedeoloides,0301010101
IsotriaMedeoloides,0301010102
IsotriaMedeoloides,0301010104
IsotriaMedeoloides,0301010105
IsotriaMedeoloides,0301010106
IsotriaMedeoloides,0301010107
IsotriaMedeoloides,0301010108
IsotriaMedeoloides,0301010109
IsotriaMedeoloides,0301010110
IsotriaMedeoloides,0301010111
IsotriaMedeoloides,0301010112
IsotriaMedeoloides,0301010113
IsotriaMedeoloides,0301010114
IsotriaMedeoloides,0301010115
IsotriaMedeoloides,0301010201
IsotriaMedeoloides,0301010202
IsotriaMedeoloides,0301010203
IsotriaMedeoloides,0301010306
IsotriaMedeoloides,0301010310
IsotriaMedeoloides,0301010501
IsotriaMedeoloides,0301010502
IsotriaMedeoloides,0301010503
IsotriaMedeoloides,0505000113
IsotriaMedeoloides,0505000114
IsotriaMedeoloides,0505000115
IsotriaMedeoloides,0505000116
IsotriaMedeoloides,0505000117
IsotriaMedeoloides,0103000311
IsotriaMedeoloides,0103000312
IsotriaMedeoloides,0103000315
IsotriaMedeoloides,0103000320
IsotriaMedeoloides,0103000321
IsotriaMedeoloides,0103000322
IsotriaMedeoloides,0103000323
IsotriaMedeoloides,0103000324
IsotriaMedeoloides,0507020203
IsotriaMedeoloides,0507020205
IsotriaMedeoloides,0601020504
IsotriaMedeoloides,0601020505
IsotriaMedeoloides,0601020506
IsotriaMedeoloides,0601020601
IsotriaMedeoloides,0601020602
IsotriaMedeoloides,0207001008
IsotriaMedeoloides,0207001102
IsotriaMedeoloides,0301010403
IsotriaMedeoloides,0505000106
IsotriaMedeoloides,0208020103
IsotriaMedeoloides,0208020104
IsotriaMedeoloides,0505000203
IsotriaMedeoloides,0415040103
IsotriaMedeoloides,0415040202
IsotriaMedeoloides,0415040305
IsotriaMedeoloides,0415040306
IsotriaMedeoloides,0415040307
IsotriaMedeoloides,0415040502
IsotriaMedeoloides,0415040503
IsotriaMedeoloides,0415040805
IsotriaMedeoloides,0415040808
IsotriaMedeoloides,0415040809
IsotriaMedeoloides,0415040812
IsotriaMedeoloides,0415050000
IsotriaMedeoloides,0202000302
IsotriaMedeoloides,0202000307
IsotriaMedeoloides,0415040102
IsotriaMedeoloides,0105000304
IsotriaMedeoloides,0105000306
IsotriaMedeoloides,0106000101
IsotriaMedeoloides,0106000102
IsotriaMedeoloides,0106000103
IsotriaMedeoloides,0106000104
