SpeciesCode,SpeciesName,Taxa,BoundaryLayerLink,PdfLink,Description,OtherInfo
IsotriaMedeoloides,Isotria Medeoloides,Plant,https://services.arcgis.com/jIL9msH9OI208GCb/arcgis/rest/services/Isotria_medeloides_Boundary/FeatureServer/0,https://arcgis-content.maps.arcgis.com/sharing/rest/content/items/36b79f8ad4bd4157b85fadb2317fcb6b/data,,
LithobatesKauffeldi,Lithobates Kauffeldi,Animal,https://services.arcgis.com/jIL9msH9OI208GCb/arcgis/rest/services/Lithobates_kauffeldi_Boundary/FeatureServer/0,,,
